,modern,original
11351,How will we pass the time without some entertainment?,How shall we beguile The lazy time if not with some delight?
11352,"Keep your promise, my love.","Keep promise, love."
11353,"Look, here comes Helena.","Look, here comes Helena."
11354,"Hello, beautiful Helena!","Godspeed, fair Helena!"
11355,Where are you going?,Whither away?
11356,Did you just call me “beautiful”?,Call you me “fair”?
11357,Take it back.,That “fair” again unsay.
11358,You’re the beautiful one as far as Demetrius is concerned.,Demetrius loves your fair.
11359,"Oh, you’re so lucky!",O happy fair!
11360,"Your eyes are like stars, and your voice is more musical than a lark’s song is to a shepherd in the springtime.","Your eyes are lodestars, and your tongue’s sweet air More tunable than lark to shepherd’s ear When wheat is green, when hawthorn buds appear."
11361,"If the world were mine, I’d give it all up—everything except Demetrius—to be you.","Were the world mine, Demetrius being bated, The rest I’d give to be to you translated."
11362,"The nine Muses mourning the death of learning and scholarship.” That’s some sharp, critical satire, and it’s not appropriate for a wedding.","The thrice three Muses mourning for the death  Of learning, late deceased in beggary.” That is some satire, keen and critical, Not sorting with a nuptial ceremony."
11363,Short but still tedious?,Tedious” and “brief”?
11364,That’s like hot ice and strange snow.,That is hot ice and wondrous strange snow.
11365,How can this drama be so many contradictory things?,How shall we find the concord of this discord?
11366,"It’s a play about ten words long, which is the shortest play I’ve ever heard of.","A play there is, my lord, some ten words long, Which is as brief as I have known a play."
11367,"In the entire play, not one word is well-written, and not one of the actors is right for his part.","For in all the play There is not one word apt, one player fitted."
11368,It’s tragic because Pyramus kills himself.,For Pyramus therein doth kill himself.
11369,"I have to admit that when I saw his suicide during rehearsal, I had tears in my eyes—but they were tears of laughter.","Which, when I saw rehearsed, I must confess, Made mine eyes water—but more merry tears The passion of loud laughter never shed."
11370,Who are the actors?,What are they that do play it?
11371,So let’s see it.,And we will hear it.
11372,"No, my noble lord.","No, my noble lord."
11373,This play isn’t right for you.,It is not for you.
11374,"I’ve seen the whole thing, and it’s completely worthless—unless you think their bad acting and their misremembered lines—which they memorized so painfully—are funny.","I have heard it over, And it is nothing, nothing in the world— Unless you can find sport in their intents, Extremely stretched and conned with cru 'l pain To do you service."
11375,I’ll watch this play.,I will hear that play.
11376,"Come on, bring them in.","Go, bring them in.—And take your places, ladies."
11377,"You won’t see anything like that, sweetheart.","Why, gentle sweet, you shall see no such thing."
11378,He just said that they’re no good at acting.,He says they can do nothing in this kind.
11379,"In my travels, great scholars have come up to me, meaning to greet me with well-rehearsed welcoming speeches, and I have seen them tremble and turn pale, and pause inappropriately in the middle of their sentences, and botch their well-rehearsed tones of voice because they’re so nervous, and then break off abruptly at the end, without actually welcoming me.","Where I have come, great clerks have purposèd To greet me with premeditated welcomes, Where I have seen them shiver and look pale, Make periods in the midst of sentences, Throttle their practiced accent in their fears, And in conclusion dumbly have broke off, Not paying me a welcome."
11380,"Therefore, love and tongue-tied simplicity can say the most even when they’re saying the least, in my opinion.","Love, therefore, and tongue-tied simplicity In least speak most, to my capacity."
11381,"Your grace, the person who is going to deliver the prologue is ready.","So please your grace, the Prologue is addressed."
11382,Let him come forward.,Let him approach.
11383,"If we happen to offend you, it’s because we want to.","If we offend, it is with our good will."
11384,"We don’t want you to think we came here to offend you, except that we want to offend you with our good intentions.","That you should think we come not to offend, But with good will."
11385,Please keep in mind we’re only here out of spite.,Consider then we come but in despite.
11386,We don’t come here with the intention of making you happy.,"We do not come as minding to contest you, Our true intent is."
11387,We’re absolutely not here to delight you.,All for your delight We are not here.
11388,"By watching their show, you’ll find out everything you’re likely to know.","That you should here repent you, The actors are at hand, and by their show You shall know all that you are like to know."
11389,This guy doesn’t pay much attention to punctuation.,This fellow doth not stand upon points.
11390,He rode that prologue like a wild horse.,He hath rid his prologue like a rough colt.
11391,He didn’t know how to stop it.,He knows not the stop.
11392,The moral of this story is that it’s not enough to speak; you have to speak grammatically.,"A good moral, my lord: it is not enough to speak, but to speak true."
11393,His speech was like a tangled chain.,His speech was like a tangled chain.
11394,Who’s next?,Who is next?
11395,I wonder if the lion’s going to talk.,I wonder if the lion be to speak.
11396,"It wouldn’t surprise me, my lord.","No wonder, my lord."
11397,Can you imagine cement and stone talking better?,Would you desire lime and hair to speak better?
11398,"It’s the smartest partition I’ve ever heard speak, my lord.","It is the wittiest partition that ever I heard discourse, my lord."
11399,Pyramus is coming up to the wall.,Pyramus draws near the wall.
11400,Be quiet!,Silence!
11401,"I’m afraid my Thisbe has forgotten her promise!—And you, oh Wall, oh sweet, oh lovely Wall, you stand between her father’s property and mine, you Wall, oh Wall, oh sweet and lovely Wall.","I fear my Thisbe’s promise is forgot!— And thou, O Wall, O sweet, O lovely Wall, That stand’st between her father’s ground and mine."
11402,God bless you for doing this.,Jove shield thee well for this!
11403,But what’s this I see?,But what see I?
11404,I don’t see any Thisbe.,No Thisbe do I see.
11405,"Oh wicked wall, through which I don’t see any happiness!",O wicked Wall through whom I see no bliss!
11406,Damn your stones for disappointing me like this!,Cursed be thy stones for thus deceiving me!
11407,"Since the wall is conscious, it should curse back at him.","The wall, methinks, being sensible, should curse again."
11408,I see a voice!,I see a voice.
11409,I’ll go to the hole to see if I can hear my Thisbe’s face.,"Now will I to the chink, To spy an I can hear my Thisbe’s face."
11410,Thisbe?,Thisbe?
11411,"You are my love, my love, I think.","My love thou art, my love, I think."
11412,"I’m your love, no matter what you think.","Think what thou wilt, I am thy lover’s grace."
11413,Will you meet me right away at Ninny’s grave?,Wilt thou at Ninny’s tomb meet me straightway?
11414,Neither death nor life will stop me from coming.,"Tide life, tide death, I come without delay."
11415,"I, Wall, have done my part.","Thus have I, Wall, my part dischargèd so."
11416,"Now that I’m done, Wall can go away.","And, being done, thus Wall away doth go."
11417,This is the silliest thing I’ve ever seen.,This is the silliest stuff that ever I heard.
11418,"The best plays are still only illusions, and the worst are just as good, if you just use your imagination to fill them in.","The best in this kind are but shadows, and the worst are no worse if imagination amend them."
11419,"In that case it’s your imagination that’s interesting, not the play.","It must be your imagination then, and not theirs."
